game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
323250087,2012-11-20,2,87,home,FALSE,Notre Dame,93,Fighting Irish,Notre Dame Fighting Irish,Notre Dame
323250087,2012-11-20,2,2382,away,FALSE,Mercer,36,Bears,Mercer Bears,Mercer
323250061,2012-11-20,2,61,home,FALSE,Georgia,94,Lady Bulldogs,Georgia Lady Bulldogs,Georgia
323250061,2012-11-20,2,2542,away,FALSE,Savannah State,57,Tigers,Savannah State Tigers,Savannah St
323250251,2012-11-20,2,251,home,FALSE,Texas,80,Longhorns,Texas Longhorns,Texas
323250251,2012-11-20,2,2296,away,FALSE,Jackson State,53,Lady Tigers,Jackson State Lady Tigers,Jackson St
323250194,2012-11-20,2,194,home,FALSE,Ohio State,70,Buckeyes,Ohio State Buckeyes,Ohio State
323250194,2012-11-20,2,2598,away,FALSE,St. Francis (PA),54,Red Flash,St. Francis (PA) Red Flash,St Francis PA
323250197,2012-11-20,2,197,home,FALSE,Oklahoma State,96,Cowgirls,Oklahoma State Cowgirls,Oklahoma St
323250197,2012-11-20,2,292,away,FALSE,UT Rio Grande Valley,42,Vaqueros,UT Rio Grande Valley Vaqueros,UT Rio Grande
323250158,2012-11-20,2,158,home,FALSE,Nebraska,85,Cornhuskers,Nebraska Cornhuskers,Nebraska
323250158,2012-11-20,2,2534,away,FALSE,Sam Houston,72,Bearkats,Sam Houston Bearkats,Sam Houston
