game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
320630239,2012,regular-season,2012-03-03,2,239,home,FALSE,Baylor,77,Bears,Baylor Bears,Baylor
320630239,2012,regular-season,2012-03-03,2,66,away,FALSE,Iowa State,53,Cyclones,Iowa State Cyclones,Iowa State
320630082,2012,regular-season,2012-03-03,2,82,home,FALSE,UIC,64,Flames,UIC Flames,UIC
320630082,2012,regular-season,2012-03-03,2,2739,away,FALSE,Green Bay,77,Phoenix,Green Bay Phoenix,Green Bay
