game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
401609648,2024,regular-season,2023-12-29,4,25,home,FALSE,California,51,Golden Bears,California Golden Bears,California
401609648,2024,regular-season,2023-12-29,4,24,away,FALSE,Stanford,78,Cardinal,Stanford Cardinal,Stanford
401603931,2024,regular-season,2023-12-29,4,52,home,FALSE,Florida State,95,Seminoles,Florida State Seminoles,Florida St
401603931,2024,regular-season,2023-12-29,4,59,away,FALSE,Georgia Tech,80,Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech
