league,team_id,team_slug,team_name,team_display,team_color
mens,221,pittsburgh-panthers,Pittsburgh,Pittsburgh,#1a348f
mens,2210,elon-phoenix,Elon,Elon,#691111
mens,2217,fairfield-stags,Fairfield,Fairfield,#bf3736
mens,222,villanova-wildcats,Villanova,Villanova,#87caec
mens,2226,florida-atlantic-owls,Florida Atlantic,FAU,#1a4378
mens,2229,florida-international-panthers,Florida International,FL Int'l,#111d3f
mens,2230,fordham-rams,Fordham,Fordham,#7a1638
mens,2239,cal-state-fullerton-titans,Cal State Fullerton,Fullerton,#ed7338
mens,2241,gardner-webb-runnin-bulldogs,Gardner-Webb,GW,#131313
mens,2244,george-mason-patriots,George Mason,GMU,#315736
mens,2247,georgia-state-panthers,Georgia State,GA State,#11319a
mens,225,brown-bears,Brown,Brown,#4a372b
mens,2250,gonzaga-bulldogs,Gonzaga,Gonzaga,#d0343e
mens,2253,grand-canyon-lopes,Grand Canyon,GCU,#4c2591
mens,2261,hampton-pirates,Hampton,Hampton,#335593
mens,227,rhode-island-rams,Rhode Island,URI,#78a6d6
mens,2272,high-point-panthers,High Point,High Point,#2a3891
mens,2275,hofstra-pride,Hofstra,Hofstra,#22539a
mens,2277,houston-christian-huskies,Houston Christian,HCU,#132e82
mens,228,clemson-tigers,Clemson,Clemson,#e67043
mens,2287,illinois-state-redbirds,Illinois State,IL State,#bc4750
mens,2294,iowa-hawkeyes,Iowa,Iowa,#000000
mens,2296,jackson-state-tigers,Jackson State,Jackson,#0f203b
mens,23,san-jose-state-spartans,San José State,San José,#1437a2
mens,2305,kansas-jayhawks,Kansas,Kansas,#2050b3
mens,2306,kansas-state-wildcats,Kansas State,K State,#2e0d54
mens,2309,kent-state-golden-flashes,Kent State,Kent State,#153872
mens,231,furman-paladins,Furman,Furman,#522e7e
mens,232,charleston-cougars,Charleston,Charleston,#702b33
mens,2320,lamar-cardinals,Lamar,Lamar,#da364a
mens,2325,la-salle-explorers,La Salle,La Salle,#f7d046
mens,2329,lehigh-mountain-hawks,Lehigh,Lehigh,#7e3f27
mens,233,south-dakota-coyotes,South Dakota,USD,#c12f3a
mens,2330,le-moyne-dolphins,Le Moyne,Le Moyne,#1b4531
mens,2335,liberty-flames,Liberty,Liberty,#b42b38
mens,2344,longwood-lancers,Longwood,Longwood,#121d3f
mens,2348,louisiana-tech-bulldogs,Louisiana Tech,LA Tech,#c9393a
mens,2349,umass-lowell-river-hawks,UMass Lowell,Lowell,#be3436
mens,235,memphis-tigers,Memphis,Memphis,#1a4281
mens,2350,loyola-chicago-ramblers,Loyola Chicago,Loyola Chi,#502021
mens,2351,loyola-marymount-lions,Loyola Marymount,Loyola Mt,#9d2c3b
mens,2352,loyola-maryland-greyhounds,Loyola Maryland,Loyola MD,#284b47
mens,236,chattanooga-mocs,Chattanooga,Chattanooga,#f2ba50
mens,2363,manhattan-jaspers,Manhattan,Manhattan,#2f6e41
mens,2368,marist-red-foxes,Marist,Marist,#d2353e
mens,2377,mcneese-cowboys,McNeese,McNeese,#0f2d94
mens,2378,umbc-retrievers,UMBC,UMBC,#f3c144
mens,2379,maryland-eastern-shore-hawks,Maryland Eastern Shore,UMES,#5d2232
mens,238,vanderbilt-commodores,Vanderbilt,Vanderbilt,#b4a163
mens,2382,mercer-bears,Mercer,Mercer,#e68841
mens,2385,mercyhurst-lakers,Mercyhurst,Mercyhurst,#2c6658
mens,239,baylor-bears,Baylor,Baylor,#244635
mens,2390,miami-hurricanes,Miami,Miami,#e37a39
mens,2393,middle-tennessee-blue-raiders,Middle Tennessee,Middle TN,#2e6bb1
mens,24,stanford-cardinal,Stanford,Stanford,#80221c
mens,2400,mississippi-valley-state-delta-devils,Mississippi Valley State,MS Valley,#dc4134
mens,2405,monmouth-hawks,Monmouth,Monmouth,#21345b
mens,2413,morehead-state-eagles,Morehead State,Morehead,#f8d74e
mens,2415,morgan-state-bears,Morgan State,Morgan,#184080
mens,242,rice-owls,Rice,Rice,#173d7a
mens,2426,navy-midshipmen,Navy,Navy,#092157
mens,2427,unc-asheville-bulldogs,UNC Asheville,Asheville,#1941aa
mens,2428,north-carolina-central-eagles,North Carolina Central,NC Central,#8b1b31
mens,2429,charlotte-49ers,Charlotte,Charlotte,#265641
mens,2430,unc-greensboro-spartans,UNC Greensboro,UNCG,#132041
mens,2433,ul-monroe-warhawks,UL Monroe,UL Monroe,#802b35
mens,2437,omaha-mavericks,Omaha,Omaha,#d2353e
mens,2439,unlv-rebels,UNLV,UNLV,#bd271b
mens,2440,nevada-wolf-pack,Nevada,Nevada,#0f2c5e
mens,2443,new-orleans-privateers,New Orleans,NOLA,#265ca1
mens,2447,nicholls-colonels,Nicholls,Nicholls,#b42b36
mens,2448,north-carolina-at-aggies,North Carolina A&T,NC A&T,#f1bc4b
mens,2449,north-dakota-state-bison,North Dakota State,ND State,#23553e
mens,245,texas-am-aggies,Texas A&M,TAMU,#490905
mens,2450,norfolk-state-spartans,Norfolk State,Norfolk,#f1bb41
mens,2453,north-alabama-lions,North Alabama,N Alabama,#532d7d
mens,2454,north-florida-ospreys,North Florida,N Florida,#061946
mens,2458,northern-colorado-bears,Northern Colorado,N Colorado,#f3c14b
mens,2459,northern-illinois-huskies,Northern Illinois,N Illinois,#bb271a
mens,2460,northern-iowa-panthers,Northern Iowa,N Iowa,#44156a
mens,2463,cal-state-northridge-matadors,Cal State Northridge,Northridge,#bf3437
mens,2464,northern-arizona-lumberjacks,Northern Arizona,N Arizona,#ebb93f
mens,2466,northwestern-state-demons,Northwestern State,NW State,#45308c
mens,2473,oakland-golden-grizzlies,Oakland,Oakland,#b69763
mens,248,houston-cougars,Houston,Houston,#b93a3e
mens,2483,oregon-ducks,Oregon,Oregon,#2f6e37
mens,249,north-texas-mean-green,North Texas,North Texas,#3f8d3f
mens,2492,pepperdine-waves,Pepperdine,Pepperdine,#04143d
mens,25,california-golden-bears,California,California,#0f2c5e
mens,250,ut-arlington-mavericks,UT Arlington,Arlington,#dd783a
mens,2501,portland-pilots,Portland,Portland,#2e046d
mens,2502,portland-state-vikings,Portland State,PSU,#244634
mens,2504,prairie-view-am-panthers,Prairie View A&M,PVAMU,#000000
mens,2506,presbyterian-blue-hose,Presbyterian,PC,#285fa5
mens,2507,providence-friars,Providence,Providence,#000000
mens,2509,purdue-boilermakers,Purdue,Purdue,#ccb88d
mens,251,texas-longhorns,Texas,Texas,#bf5f36
mens,2511,queens-university-royals,Queens University,Queens,#162b68
mens,2514,quinnipiac-bobcats,Quinnipiac,Quinnipiac,#e7b14f
mens,2515,radford-highlanders,Radford,Radford,#b12425
mens,252,byu-cougars,BYU,BYU,#173c9f
mens,2520,rider-broncs,Rider,Rider,#9d3443
mens,2523,robert-morris-colonials,Robert Morris,RMU,#be2f35
mens,2529,sacred-heart-pioneers,Sacred Heart,SHU,#bd2d45
mens,253,southern-utah-thunderbirds,Southern Utah,S Utah,#b83632
mens,2534,sam-houston-bearkats,Sam Houston,SH,#d36238
mens,2535,samford-bulldogs,Samford,Samford,#162646
mens,2539,san-francisco-dons,San Francisco,San Fran,#22533e
mens,254,utah-utes,Utah,Utah,#d72e35
mens,2540,uc-santa-barbara-gauchos,UC Santa Barbara,UCSB,#1b115c
mens,2541,santa-clara-broncos,Santa Clara,Santa Clara,#6f2a3a
mens,2542,savannah-state-tigers,Savannah State,Savannah,gray60
mens,2545,se-louisiana-lions,SE Louisiana,SE LA,#2c5535
mens,2546,southeast-missouri-state-redhawks,Southeast Missouri State,SEMO,#c8333a
mens,2547,seattle-u-redhawks,Seattle U,Seattle U,#ac3137
mens,2550,seton-hall-pirates,Seton Hall,Seton Hall,#285fa5
mens,256,james-madison-dukes,James Madison,JMU,#362767
mens,2561,siena-saints,Siena,Siena,#2b644a
mens,2565,siu-edwardsville-cougars,SIU Edwardsville,SIUE,#cf4635
