game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
283350153,2009,regular-season,2008-11-30,2,153,home,FALSE,North Carolina,116,Tar Heels,North Carolina Tar Heels,North Carolina
283350153,2009,regular-season,2008-11-30,2,2427,away,FALSE,UNC Asheville,48,Bulldogs,UNC Asheville Bulldogs,UNC Asheville
283350097,2009,regular-season,2008-11-30,2,98,home,TRUE,Western Kentucky,68,Hilltoppers,Western Kentucky Hilltoppers,Western KY
283350097,2009,regular-season,2008-11-30,2,97,away,TRUE,Louisville,54,Cardinals,Louisville Cardinals,Louisville
283350127,2009,regular-season,2008-11-30,2,127,home,TRUE,Michigan State,65,Spartans,Michigan State Spartans,Michigan St
283350127,2009,regular-season,2008-11-30,2,2724,away,TRUE,Wichita State,57,Shockers,Wichita State Shockers,Wichita St
283350251,2009,regular-season,2008-11-30,2,251,home,FALSE,Texas,77,Longhorns,Texas Longhorns,Texas
283350251,2009,regular-season,2008-11-30,2,242,away,FALSE,Rice,56,Owls,Rice Owls,Rice
283350087,2009,regular-season,2008-11-30,2,87,home,FALSE,Notre Dame,93,Fighting Irish,Notre Dame Fighting Irish,Notre Dame
283350087,2009,regular-season,2008-11-30,2,231,away,FALSE,Furman,61,Paladins,Furman Paladins,Furman
283352250,2009,regular-season,2008-11-30,2,2250,home,TRUE,Gonzaga,83,Bulldogs,Gonzaga Bulldogs,Gonzaga
283352250,2009,regular-season,2008-11-30,2,2633,away,TRUE,Tennessee,74,Volunteers,Tennessee Volunteers,Tennessee
283350009,2009,regular-season,2008-11-30,2,9,home,TRUE,Arizona State,88,Sun Devils,Arizona State Sun Devils,Arizona St
283350009,2009,regular-season,2008-11-30,2,2638,away,TRUE,UTEP,58,Miners,UTEP Miners,UTEP
283350140,2009,regular-season,2008-11-30,2,57,home,TRUE,Florida,86,Gators,Florida Gators,Florida
283350140,2009,regular-season,2008-11-30,2,140,away,TRUE,Kansas City,65,Roos,Kansas City Roos,Kansas City
283350239,2009,regular-season,2008-11-30,2,239,home,TRUE,Baylor,74,Bears,Baylor Bears,Baylor
283350239,2009,regular-season,2008-11-30,2,154,away,TRUE,Wake Forest,87,Demon Deacons,Wake Forest Demon Deacons,Wake Forest
283350120,2009,regular-season,2008-11-30,2,120,home,TRUE,Maryland,48,Terrapins,Maryland Terrapins,Maryland
283350120,2009,regular-season,2008-11-30,2,46,away,TRUE,Georgetown,75,Hoyas,Georgetown Hoyas,Georgetown
