game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
270390005,2007,regular-season,2007-02-08,2,5,home,FALSE,UAB,56,Blazers,UAB Blazers,UAB
270390005,2007,regular-season,2007-02-08,2,235,away,FALSE,Memphis,70,Tigers,Memphis Tigers,Memphis
270390325,2007,regular-season,2007-02-08,2,325,home,FALSE,Cleveland State,50,Vikings,Cleveland State Vikings,Cleveland St
270390325,2007,regular-season,2007-02-08,2,2086,away,FALSE,Butler,92,Bulldogs,Butler Bulldogs,Butler
270390278,2007,regular-season,2007-02-08,2,278,home,FALSE,Fresno State,68,Bulldogs,Fresno State Bulldogs,Fresno St
270390278,2007,regular-season,2007-02-08,2,2440,away,FALSE,Nevada,81,Wolf Pack,Nevada Wolf Pack,Nevada
270392483,2007,regular-season,2007-02-08,2,2483,home,FALSE,Oregon,55,Ducks,Oregon Ducks,Oregon
270392483,2007,regular-season,2007-02-08,2,9,away,FALSE,Arizona State,51,Sun Devils,Arizona State Sun Devils,Arizona St
270390265,2007,regular-season,2007-02-08,2,265,home,FALSE,Washington State,58,Cougars,Washington State Cougars,Washington St
270390265,2007,regular-season,2007-02-08,2,24,away,FALSE,Stanford,45,Cardinal,Stanford Cardinal,Stanford
270390204,2007,regular-season,2007-02-08,2,204,home,FALSE,Oregon State,66,Beavers,Oregon State Beavers,Oregon St
270390204,2007,regular-season,2007-02-08,2,12,away,FALSE,Arizona,72,Wildcats,Arizona Wildcats,Arizona
