game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
313260153,2012,regular-season,2011-11-22,2,153,home,FALSE,North Carolina,102,Tar Heels,North Carolina Tar Heels,North Carolina
313260153,2012,regular-season,2011-11-22,2,2634,away,FALSE,Tennessee State,69,Tigers,Tennessee State Tigers,Tennessee St
313260097,2012,regular-season,2011-11-22,2,97,home,FALSE,Louisville,54,Cardinals,Louisville Cardinals,Louisville
313260097,2012,regular-season,2011-11-22,2,2032,away,FALSE,Arkansas State,27,Red Wolves,Arkansas State Red Wolves,Arkansas St
313260239,2012,regular-season,2011-11-22,2,239,home,FALSE,Baylor,70,Bears,Baylor Bears,Baylor
313260239,2012,regular-season,2011-11-22,2,2569,away,FALSE,South Carolina State,50,Bulldogs,South Carolina State Bulldogs,SC State
313260221,2012,regular-season,2011-11-22,2,221,home,FALSE,Pittsburgh,73,Panthers,Pittsburgh Panthers,Pitt
313260221,2012,regular-season,2011-11-22,2,2325,away,FALSE,La Salle,69,Explorers,La Salle Explorers,La Salle
