game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
330790256,2013,post-season,2013-03-20,2,256,home,TRUE,James Madison,68,Dukes,James Madison Dukes,James Madison
330790256,2013,post-season,2013-03-20,2,112358,away,TRUE,Long Island University,55,Sharks,Long Island University Sharks,Long Island
330790068,2013,post-season,2013-03-20,2,68,home,TRUE,Boise State,71,Broncos,Boise State Broncos,Boise St
330790068,2013,post-season,2013-03-20,2,2325,away,TRUE,La Salle,80,Explorers,La Salle Explorers,La Salle
