game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
264000058,2006-03-19,2,2633,home,FALSE,Tennessee,102,Lady Volunteers,Tennessee Lady Volunteers,Tennessee
264000058,2006-03-19,2,349,away,FALSE,Army,54,Black Knights,Army Black Knights,Army
264000051,2006-03-19,2,2509,home,FALSE,Purdue,73,Boilermakers,Purdue Boilermakers,Purdue
264000051,2006-03-19,2,2623,away,FALSE,Missouri State,52,Lady Bears,Missouri State Lady Bears,Missouri St
264000023,2006-03-19,2,218,home,FALSE,Temple,58,Owls,Temple Owls,Temple
264000023,2006-03-19,2,42,away,FALSE,Hartford,64,Hawks,Hartford Hawks,Hartford
264000011,2006-03-19,2,2599,home,FALSE,St. John's,78,Red Storm,St. John's Red Storm,St John's
264000011,2006-03-19,2,25,away,FALSE,California,68,Golden Bears,California Golden Bears,California
264000057,2006-03-19,2,45,home,FALSE,George Washington,87,Revolutionaries,George Washington Revolutionaries,G Washington
264000057,2006-03-19,2,295,away,FALSE,Old Dominion,72,Monarchs,Old Dominion Monarchs,Old Dominion
264000050,2006-03-19,2,26,home,FALSE,UCLA,74,Bruins,UCLA Bruins,UCLA
264000050,2006-03-19,2,189,away,FALSE,Bowling Green,61,Falcons,Bowling Green Falcons,Bowling Green
264000024,2006-03-19,2,61,home,FALSE,Georgia,75,Lady Bulldogs,Georgia Lady Bulldogs,Georgia
264000024,2006-03-19,2,2368,away,FALSE,Marist,60,Red Foxes,Marist Red Foxes,Marist
264000012,2006-03-19,2,120,home,FALSE,Maryland,95,Terrapins,Maryland Terrapins,Maryland
264000012,2006-03-19,2,2529,away,FALSE,Sacred Heart,54,Pioneers,Sacred Heart Pioneers,Sacred Heart
264000055,2006-03-19,2,164,home,FALSE,Rutgers,63,Scarlet Knights,Rutgers Scarlet Knights,Rutgers
264000055,2006-03-19,2,159,away,FALSE,Dartmouth,58,Big Green,Dartmouth Big Green,Dartmouth
264000026,2006-03-19,2,259,home,FALSE,Virginia Tech,82,Hokies,Virginia Tech Hokies,Virginia Tech
264000026,2006-03-19,2,142,away,FALSE,Missouri,51,Tigers,Missouri Tigers,Missouri
264000016,2006-03-19,2,150,home,FALSE,Duke,96,Blue Devils,Duke Blue Devils,Duke
264000016,2006-03-19,2,2582,away,FALSE,Southern,27,Jaguars,Southern Jaguars,Southern
264000002,2006-03-19,2,103,home,FALSE,Boston College,78,Eagles,Boston College Eagles,Boston College
264000002,2006-03-19,2,87,away,FALSE,Notre Dame,61,Fighting Irish,Notre Dame Fighting Irish,Notre Dame
264000054,2006-03-19,2,245,home,FALSE,Texas A&M,65,Aggies,Texas A&M Aggies,Texas A&M
264000054,2006-03-19,2,2628,away,FALSE,TCU,69,Horned Frogs,TCU Horned Frogs,TCU
264000027,2006-03-19,2,41,home,FALSE,UConn,77,Huskies,UConn Huskies,UConn
264000027,2006-03-19,2,2154,away,FALSE,Coppin State,54,Eagles,Coppin State Eagles,Coppin St
264000017,2006-03-19,2,30,home,FALSE,USC,67,Trojans,USC Trojans,USC
264000017,2006-03-19,2,58,away,FALSE,South Florida,65,Bulls,South Florida Bulls,South Florida
264000001,2006-03-19,2,194,home,FALSE,Ohio State,68,Buckeyes,Ohio State Buckeyes,Ohio State
264000001,2006-03-19,2,2473,away,FALSE,Oakland,45,Golden Grizzlies,Oakland Golden Grizzlies,Oakland
