game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
400920335,2017-02-20,4,2597,home,FALSE,St. Francis Brooklyn,58,Terriers,St. Francis Brooklyn Terriers,St Francis BK
400920335,2017-02-20,4,2341,away,FALSE,LIU Brooklyn,62,Blackbirds,LIU Brooklyn Blackbirds,LIU Brooklyn
400921315,2017-02-20,4,47,home,FALSE,Howard,62,Bison,Howard Bison,Howard
400921315,2017-02-20,4,2428,away,FALSE,North Carolina Central,48,Eagles,North Carolina Central Eagles,NC Central
400920287,2017-02-20,4,2115,home,FALSE,Central Connecticut,70,Blue Devils,Central Connecticut Blue Devils,C Connecticut
400920287,2017-02-20,4,2598,away,FALSE,St. Francis (PA),72,Red Flash,St. Francis (PA) Red Flash,St Francis PA
400921294,2017-02-20,4,2065,home,FALSE,Bethune-Cookman,53,Wildcats,Bethune-Cookman Wildcats,Bethune
400921294,2017-02-20,4,2450,away,FALSE,Norfolk State,44,Spartans,Norfolk State Spartans,Norfolk St
400921024,2017-02-20,4,2379,home,FALSE,Maryland Eastern Shore,58,Hawks,Maryland Eastern Shore Hawks,MD Eastern
400921024,2017-02-20,4,2448,away,FALSE,North Carolina A&T,50,Aggies,North Carolina A&T Aggies,NC A&T
400921005,2017-02-20,4,2169,home,FALSE,Delaware State,52,Hornets,Delaware State Hornets,Delaware St
400921005,2017-02-20,4,2415,away,FALSE,Morgan State,71,Lady Bears,Morgan State Lady Bears,Morgan St
400921306,2017-02-20,4,2542,home,FALSE,Savannah State,47,Tigers,Savannah State Tigers,Savannah St
400921306,2017-02-20,4,2154,away,FALSE,Coppin State,59,Eagles,Coppin State Eagles,Coppin St
400920302,2017-02-20,5,2529,home,FALSE,Sacred Heart,68,Pioneers,Sacred Heart Pioneers,Sacred Heart
400920302,2017-02-20,5,161,away,FALSE,Fairleigh Dickinson,60,Knights,Fairleigh Dickinson Knights,Fair Dickinson
400913609,2017-02-20,4,50,home,FALSE,Florida A&M,62,Rattlers,Florida A&M Rattlers,Florida A&M
400913609,2017-02-20,4,2261,away,FALSE,Hampton,44,Lady Pirates,Hampton Lady Pirates,Hampton
400922070,2017-02-20,4,2016,home,FALSE,Alcorn State,71,Lady Braves,Alcorn State Lady Braves,Alcorn St
400922070,2017-02-20,4,2010,away,FALSE,Alabama A&M,42,Bulldogs,Alabama A&M Bulldogs,Alabama A&M
400921083,2017-02-20,4,2504,home,FALSE,Prairie View A&M,62,Lady Panthers,Prairie View A&M Lady Panthers,Prairie View
400921083,2017-02-20,4,2029,away,FALSE,Arkansas-Pine Bluff,57,Golden Lions,Arkansas-Pine Bluff Golden Lions,AR-Pine Bluff
400921066,2017-02-20,5,2582,home,FALSE,Southern,59,Jaguars,Southern Jaguars,Southern
400921066,2017-02-20,5,2011,away,FALSE,Alabama State,53,Lady Hornets,Alabama State Lady Hornets,Alabama St
400921044,2017-02-20,4,2640,home,FALSE,Texas Southern,60,Tigers,Texas Southern Tigers,Texas Southern
400921044,2017-02-20,4,2400,away,FALSE,Mississippi Valley State,54,Devilettes,Mississippi Valley State Devilettes,Miss Valley St
400921992,2017-02-20,4,2635,home,FALSE,Tennessee Tech,52,Golden Eagles,Tennessee Tech Golden Eagles,Tennessee Tech
400921992,2017-02-20,4,2413,away,FALSE,Morehead State,81,Eagles,Morehead State Eagles,Morehead St
400920798,2017-02-20,4,2473,home,FALSE,Oakland,86,Golden Grizzlies,Oakland Golden Grizzlies,Oakland
400920798,2017-02-20,4,94,away,FALSE,Northern Kentucky,66,Norse,Northern Kentucky Norse,N Kentucky
400920737,2017-02-20,4,2174,home,FALSE,Detroit Mercy,85,Titans,Detroit Mercy Titans,Detroit Mercy
400920737,2017-02-20,4,2750,away,FALSE,Wright State,80,Raiders,Wright State Raiders,Wright St
400920352,2017-02-20,4,2681,home,FALSE,Wagner,59,Seahawks,Wagner Seahawks,Wagner
400920352,2017-02-20,4,116,away,FALSE,Mount St. Mary's,70,Mountaineers,Mount St. Mary's Mountaineers,Mount St Marys
400917335,2017-02-20,4,338,home,FALSE,Kennesaw State,62,Owls,Kennesaw State Owls,Kennesaw St
400917335,2017-02-20,4,294,away,FALSE,Jacksonville,74,Dolphins,Jacksonville Dolphins,Jacksonville
400917334,2017-02-20,4,2885,home,FALSE,NJIT,46,Highlanders,NJIT Highlanders,NJIT
400917334,2017-02-20,4,526,away,FALSE,Florida Gulf Coast,77,Eagles,Florida Gulf Coast Eagles,FGCU
400914438,2017-02-20,4,194,home,FALSE,Ohio State,98,Buckeyes,Ohio State Buckeyes,Ohio State
400914438,2017-02-20,4,120,away,FALSE,Maryland,87,Terrapins,Maryland Terrapins,Maryland
400912511,2017-02-20,4,2908,home,FALSE,South Carolina Upstate,55,Spartans,South Carolina Upstate Spartans,SC Upstate
400912511,2017-02-20,4,56,away,FALSE,Stetson,77,Hatters,Stetson Hatters,Stetson
400911005,2017-02-20,5,2,home,FALSE,Auburn,61,Tigers,Auburn Tigers,Auburn
400911005,2017-02-20,5,333,away,FALSE,Alabama,63,Crimson Tide,Alabama Crimson Tide,Alabama
400917336,2017-02-20,4,288,home,FALSE,Lipscomb,66,Bisons,Lipscomb Bisons,Lipscomb
400917336,2017-02-20,4,2454,away,FALSE,North Florida,62,Ospreys,North Florida Ospreys,North Florida
400920783,2017-02-20,4,270,home,FALSE,Milwaukee,80,Panthers,Milwaukee Panthers,Milwaukee
400920783,2017-02-20,4,2674,away,FALSE,Valparaiso,64,Beacons,Valparaiso Beacons,Valparaiso
400920751,2017-02-20,4,2739,home,FALSE,Green Bay,65,Phoenix,Green Bay Phoenix,Green Bay
400920751,2017-02-20,4,82,away,FALSE,UIC,31,Flames,UIC Flames,UIC
400920266,2017-02-20,5,2803,home,FALSE,Bryant,62,Bulldogs,Bryant Bulldogs,Bryant
400920266,2017-02-20,5,2523,away,FALSE,Robert Morris,59,Colonials,Robert Morris Colonials,Robert Morris
400905175,2017-02-20,4,251,home,FALSE,Texas,67,Longhorns,Texas Longhorns,Texas
400905175,2017-02-20,4,239,away,FALSE,Baylor,70,Bears,Baylor Bears,Baylor
