game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
230610061,2003-03-02,2,61,home,FALSE,Georgia,66,Bulldogs,Georgia Bulldogs,Georgia
230610061,2003-03-02,2,96,away,FALSE,Kentucky,74,Wildcats,Kentucky Wildcats,Kentucky
230612599,2003-03-02,2,2599,home,FALSE,St. John's,72,Red Storm,St. John's Red Storm,St John's
230612599,2003-03-02,2,150,away,FALSE,Duke,71,Blue Devils,Duke Blue Devils,Duke
230610221,2003-03-02,2,221,home,FALSE,Pittsburgh,71,Panthers,Pittsburgh Panthers,Pitt
230610221,2003-03-02,2,41,away,FALSE,UConn,67,Huskies,UConn Huskies,UConn
230610152,2003-03-02,2,152,home,FALSE,NC State,65,Wolfpack,NC State Wolfpack,NC State
230610152,2003-03-02,2,120,away,FALSE,Maryland,68,Terrapins,Maryland Terrapins,Maryland
230610025,2003-03-02,2,25,home,FALSE,California,80,Golden Bears,California Golden Bears,California
230610025,2003-03-02,2,9,away,FALSE,Arizona State,72,Sun Devils,Arizona State Sun Devils,Arizona St
