game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
270070259,2007,regular-season,2007-01-07,2,259,home,FALSE,Virginia Tech,54,Hokies,Virginia Tech Hokies,Virginia Tech
270070259,2007,regular-season,2007-01-07,2,150,away,FALSE,Duke,86,Blue Devils,Duke Blue Devils,Duke
270070099,2007,regular-season,2007-01-07,2,99,home,FALSE,LSU,57,Tigers,LSU Tigers,LSU
270070099,2007,regular-season,2007-01-07,2,61,away,FALSE,Georgia,55,Lady Bulldogs,Georgia Lady Bulldogs,Georgia
270070251,2007,regular-season,2007-01-07,2,251,home,FALSE,Texas,64,Longhorns,Texas Longhorns,Texas
270070251,2007,regular-season,2007-01-07,2,2509,away,FALSE,Purdue,61,Boilermakers,Purdue Boilermakers,Purdue
270070145,2007,regular-season,2007-01-07,2,145,home,FALSE,Ole Miss,76,Rebels,Ole Miss Rebels,Ole Miss
270070145,2007,regular-season,2007-01-07,2,238,away,FALSE,Vanderbilt,66,Commodores,Vanderbilt Commodores,Vanderbilt
270070009,2007,regular-season,2007-01-07,2,9,home,FALSE,Arizona State,88,Sun Devils,Arizona State Sun Devils,Arizona St
270070009,2007,regular-season,2007-01-07,2,264,away,FALSE,Washington,83,Huskies,Washington Huskies,Washington
270070008,2007,regular-season,2007-01-07,2,8,home,FALSE,Arkansas,73,Razorbacks,Arkansas Razorbacks,Arkansas
270070008,2007,regular-season,2007-01-07,2,344,away,FALSE,Mississippi State,81,Bulldogs,Mississippi State Bulldogs,Mississippi St
270070167,2007,regular-season,2007-01-07,2,167,home,FALSE,New Mexico,48,Lobos,New Mexico Lobos,New Mexico
270070167,2007,regular-season,2007-01-07,2,254,away,FALSE,Utah,49,Utes,Utah Utes,Utah
