league,team_id,team_slug,team_name
mens,194,ohio-state-buckeyes,Ohio State Buckeyes
mens,2483,oregon-ducks,Oregon Ducks
mens,213,penn-state-nittany-lions,Penn State Nittany Lions
mens,2509,purdue-boilermakers,Purdue Boilermakers
mens,164,rutgers-scarlet-knights,Rutgers Scarlet Knights
mens,26,ucla-bruins,UCLA Bruins
mens,30,usc-trojans,USC Trojans
mens,264,washington-huskies,Washington Huskies
mens,275,wisconsin-badgers,Wisconsin Badgers
mens,13,cal-poly-mustangs,Cal Poly Mustangs
mens,2934,cal-state-bakersfield-roadrunners,Cal State Bakersfield Roadrunners
mens,2239,cal-state-fullerton-titans,Cal State Fullerton Titans
mens,2463,cal-state-northridge-matadors,Cal State Northridge Matadors
mens,62,hawaii-rainbow-warriors,Hawai'i Rainbow Warriors
mens,299,long-beach-state-beach,Long Beach State Beach
mens,302,uc-davis-aggies,UC Davis Aggies
mens,300,uc-irvine-anteaters,UC Irvine Anteaters
mens,27,uc-riverside-highlanders,UC Riverside Highlanders
mens,28,uc-san-diego-tritons,UC San Diego Tritons
mens,2540,uc-santa-barbara-gauchos,UC Santa Barbara Gauchos
mens,2097,campbell-fighting-camels,Campbell Fighting Camels
mens,232,charleston-cougars,Charleston Cougars
mens,48,delaware-blue-hens,Delaware Blue Hens
mens,2182,drexel-dragons,Drexel Dragons
mens,2210,elon-phoenix,Elon Phoenix
mens,2261,hampton-pirates,Hampton Pirates
mens,2275,hofstra-pride,Hofstra Pride
mens,2405,monmouth-hawks,Monmouth Hawks
mens,2448,north-carolina-at-aggies,North Carolina A&T Aggies
mens,111,northeastern-huskies,Northeastern Huskies
mens,2619,stony-brook-seawolves,Stony Brook Seawolves
mens,119,towson-tigers,Towson Tigers
mens,350,unc-wilmington-seahawks,UNC Wilmington Seahawks
mens,2729,william-mary-tribe,William & Mary Tribe
mens,2229,florida-international-panthers,Florida International Panthers
mens,55,jacksonville-state-gamecocks,Jacksonville State Gamecocks
mens,338,kennesaw-state-owls,Kennesaw State Owls
mens,2335,liberty-flames,Liberty Flames
mens,2348,louisiana-tech-bulldogs,Louisiana Tech Bulldogs
mens,2393,middle-tennessee-blue-raiders,Middle Tennessee Blue Raiders
mens,166,new-mexico-state-aggies,New Mexico State Aggies
mens,2534,sam-houston-bearkats,Sam Houston Bearkats
mens,2638,utep-miners,UTEP Miners
mens,98,western-kentucky-hilltoppers,Western Kentucky Hilltoppers
mens,325,cleveland-state-vikings,Cleveland State Vikings
mens,2174,detroit-mercy-titans,Detroit Mercy Titans
mens,2739,green-bay-phoenix,Green Bay Phoenix
mens,85,iupui-jaguars,IU Indianapolis Jaguars
mens,270,milwaukee-panthers,Milwaukee Panthers
mens,94,northern-kentucky-norse,Northern Kentucky Norse
mens,2473,oakland-golden-grizzlies,Oakland Golden Grizzlies
mens,2870,purdue-fort-wayne-mastodons,Purdue Fort Wayne Mastodons
mens,2523,robert-morris-colonials,Robert Morris Colonials
mens,2750,wright-state-raiders,Wright State Raiders
mens,2754,youngstown-state-penguins,Youngstown State Penguins
mens,225,brown-bears,Brown Bears
mens,171,columbia-lions,Columbia Lions
mens,172,cornell-big-red,Cornell Big Red
mens,159,dartmouth-big-green,Dartmouth Big Green
mens,108,harvard-crimson,Harvard Crimson
mens,219,pennsylvania-quakers,Pennsylvania Quakers
mens,163,princeton-tigers,Princeton Tigers
mens,43,yale-bulldogs,Yale Bulldogs
mens,2099,canisius-golden-griffins,Canisius Golden Griffins
mens,2217,fairfield-stags,Fairfield Stags
mens,314,iona-gaels,Iona Gaels
mens,2363,manhattan-jaspers,Manhattan Jaspers
mens,2368,marist-red-foxes,Marist Red Foxes
mens,2771,merrimack-warriors,Merrimack Warriors
mens,116,mount-st-marys-mountaineers,Mount St. Mary's Mountaineers
mens,315,niagara-purple-eagles,Niagara Purple Eagles
mens,2514,quinnipiac-bobcats,Quinnipiac Bobcats
mens,2520,rider-broncs,Rider Broncs
mens,2529,sacred-heart-pioneers,Sacred Heart Pioneers
mens,2612,saint-peters-peacocks,Saint Peter's Peacocks
mens,2561,siena-saints,Siena Saints
mens,2154,coppin-state-eagles,Coppin State Eagles
