game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
401629603,2024,regular-season,2024-03-06,4,38,home,TRUE,Colorado,79,Buffaloes,Colorado Buffaloes,Colorado
401629603,2024,regular-season,2024-03-06,4,2483,away,TRUE,Oregon,30,Ducks,Oregon Ducks,Oregon
401629606,2024,regular-season,2024-03-06,4,254,home,TRUE,Utah,71,Utes,Utah Utes,Utah
401629606,2024,regular-season,2024-03-06,4,9,away,TRUE,Arizona State,60,Sun Devils,Arizona State Sun Devils,Arizona St
