game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
240150150,2004-01-15,2,150,home,FALSE,Duke,76,Blue Devils,Duke Blue Devils,Duke
240150150,2004-01-15,2,152,away,FALSE,NC State,57,Wolfpack,NC State Wolfpack,NC State
240150030,2004-01-15,2,30,home,FALSE,USC,99,Trojans,USC Trojans,USC
240150030,2004-01-15,2,12,away,FALSE,Arizona,90,Wildcats,Arizona Wildcats,Arizona
240150151,2004-01-15,2,151,home,FALSE,East Carolina,66,Pirates,East Carolina Pirates,East Carolina
240150151,2004-01-15,2,97,away,FALSE,Louisville,76,Cardinals,Louisville Cardinals,Louisville
240150059,2004-01-15,2,59,home,FALSE,Georgia Tech,75,Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech
240150059,2004-01-15,2,258,away,FALSE,Virginia,57,Cavaliers,Virginia Cavaliers,Virginia
240152250,2004-01-15,2,2250,home,FALSE,Gonzaga,92,Bulldogs,Gonzaga Bulldogs,Gonzaga
240152250,2004-01-15,2,2539,away,FALSE,San Francisco,50,Dons,San Francisco Dons,San Francisco
