game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
250170251,2005,regular-season,2005-01-17,2,251,home,FALSE,Texas,75,Longhorns,Texas Longhorns,Texas
250170251,2005,regular-season,2005-01-17,2,197,away,FALSE,Oklahoma State,61,Cowboys,Oklahoma State Cowboys,Oklahoma St
250172550,2005,regular-season,2005-01-17,2,2550,home,FALSE,Seton Hall,68,Pirates,Seton Hall Pirates,Seton Hall
250172550,2005,regular-season,2005-01-17,2,41,away,FALSE,UConn,77,Huskies,UConn Huskies,UConn
