game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
401514304,2023,regular-season,2023-03-09,2,2649,home,TRUE,Toledo,91,Rockets,Toledo Rockets,Toledo
401514304,2023,regular-season,2023-03-09,2,193,away,TRUE,Miami (OH),75,RedHawks,Miami (OH) RedHawks,Miami OH
401514228,2023,regular-season,2023-03-09,2,2670,home,TRUE,VCU,71,Rams,VCU Rams,VCU
401514228,2023,regular-season,2023-03-09,2,2166,away,TRUE,Davidson,53,Wildcats,Davidson Wildcats,Davidson
401514416,2023,regular-season,2023-03-09,2,130,home,TRUE,Michigan,50,Wolverines,Michigan Wolverines,Michigan
401514416,2023,regular-season,2023-03-09,2,164,away,TRUE,Rutgers,62,Scarlet Knights,Rutgers Scarlet Knights,Rutgers
401514247,2023,regular-season,2023-03-09,3,269,home,TRUE,Marquette,72,Golden Eagles,Marquette Golden Eagles,Marquette
401514247,2023,regular-season,2023-03-09,3,2599,away,TRUE,St. John's,70,Red Storm,St. John's Red Storm,St John's
401514045,2023,regular-season,2023-03-09,2,2390,home,TRUE,Miami,74,Hurricanes,Miami Hurricanes,Miami
401514045,2023,regular-season,2023-03-09,2,154,away,TRUE,Wake Forest,72,Demon Deacons,Wake Forest Demon Deacons,Wake Forest
401515330,2023,regular-season,2023-03-09,2,58,home,TRUE,South Florida,58,Bulls,South Florida Bulls,South Florida
401515330,2023,regular-season,2023-03-09,2,151,away,TRUE,East Carolina,73,Pirates,East Carolina Pirates,East Carolina
401514237,2023,regular-season,2023-03-09,2,239,home,TRUE,Baylor,72,Bears,Baylor Bears,Baylor
401514237,2023,regular-season,2023-03-09,2,66,away,TRUE,Iowa State,78,Cyclones,Iowa State Cyclones,Iowa State
401519348,2023,regular-season,2023-03-09,3,57,home,TRUE,Florida,68,Gators,Florida Gators,Florida
401519348,2023,regular-season,2023-03-09,3,344,away,TRUE,Mississippi State,69,Bulldogs,Mississippi State Bulldogs,Mississippi St
401514305,2023,regular-season,2023-03-09,2,2050,home,TRUE,Ball State,70,Cardinals,Ball State Cardinals,Ball State
401514305,2023,regular-season,2023-03-09,2,195,away,TRUE,Ohio,90,Bobcats,Ohio Bobcats,Ohio
401514229,2023,regular-season,2023-03-09,2,139,home,TRUE,Saint Louis,82,Billikens,Saint Louis Billikens,Saint Louis
