game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
260540333,2006,regular-season,2006-02-23,2,333,home,FALSE,Alabama,61,Crimson Tide,Alabama Crimson Tide,Alabama
260540333,2006,regular-season,2006-02-23,2,99,away,FALSE,LSU,86,Tigers,LSU Tigers,LSU
260540120,2006,regular-season,2006-02-23,2,120,home,FALSE,Maryland,89,Terrapins,Maryland Terrapins,Maryland
260540120,2006,regular-season,2006-02-23,2,228,away,FALSE,Clemson,63,Tigers,Clemson Tigers,Clemson
260542633,2006,regular-season,2006-02-23,2,2633,home,FALSE,Tennessee,81,Lady Volunteers,Tennessee Lady Volunteers,Tennessee
260542633,2006,regular-season,2006-02-23,2,2,away,FALSE,Auburn,56,Tigers,Auburn Tigers,Auburn
260540194,2006,regular-season,2006-02-23,2,194,home,FALSE,Ohio State,67,Buckeyes,Ohio State Buckeyes,Ohio State
260540194,2006,regular-season,2006-02-23,2,2509,away,FALSE,Purdue,58,Boilermakers,Purdue Boilermakers,Purdue
260540008,2006,regular-season,2006-02-23,2,8,home,FALSE,Arkansas,80,Razorbacks,Arkansas Razorbacks,Arkansas
260540008,2006,regular-season,2006-02-23,2,61,away,FALSE,Georgia,86,Lady Bulldogs,Georgia Lady Bulldogs,Georgia
260540130,2006,regular-season,2006-02-23,2,130,home,FALSE,Michigan,42,Wolverines,Michigan Wolverines,Michigan
260540130,2006,regular-season,2006-02-23,2,127,away,FALSE,Michigan State,68,Spartans,Michigan State Spartans,Michigan St
260540024,2006,regular-season,2006-02-23,2,24,home,FALSE,Stanford,100,Cardinal,Stanford Cardinal,Stanford
260540024,2006,regular-season,2006-02-23,2,264,away,FALSE,Washington,69,Huskies,Washington Huskies,Washington
260542348,2006,regular-season,2006-02-23,2,2348,home,FALSE,Louisiana Tech,66,Lady Techsters,Louisiana Tech Lady Techsters,Louisiana Tech
260542348,2006,regular-season,2006-02-23,2,166,away,FALSE,New Mexico State,53,Aggies,New Mexico State Aggies,New Mexico St
260540135,2006,regular-season,2006-02-23,2,135,home,FALSE,Minnesota,65,Golden Gophers,Minnesota Golden Gophers,Minnesota
260540135,2006,regular-season,2006-02-23,2,84,away,FALSE,Indiana,58,Hoosiers,Indiana Hoosiers,Indiana
260540238,2006,regular-season,2006-02-23,2,238,home,FALSE,Vanderbilt,72,Commodores,Vanderbilt Commodores,Vanderbilt
260540238,2006,regular-season,2006-02-23,2,96,away,FALSE,Kentucky,55,Wildcats,Kentucky Wildcats,Kentucky
