game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
260610005,2006-03-02,2,5,home,FALSE,UAB,80,Blazers,UAB Blazers,UAB
260610005,2006-03-02,2,235,away,FALSE,Memphis,74,Tigers,Memphis Tigers,Memphis
260610009,2006-03-02,2,9,home,FALSE,Arizona State,66,Sun Devils,Arizona State Sun Devils,Arizona St
260610009,2006-03-02,2,264,away,FALSE,Washington,91,Huskies,Washington Huskies,Washington
260610025,2006-03-02,3,25,home,FALSE,California,58,Golden Bears,California Golden Bears,California
260610025,2006-03-02,3,26,away,FALSE,UCLA,67,Bruins,UCLA Bruins,UCLA
260612440,2006-03-02,2,2440,home,FALSE,Nevada,83,Wolf Pack,Nevada Wolf Pack,Nevada
260612440,2006-03-02,2,23,away,FALSE,San José State,60,Spartans,San José State Spartans,San José St
260610127,2006-03-02,2,127,home,FALSE,Michigan State,74,Spartans,Michigan State Spartans,Michigan St
260610127,2006-03-02,2,275,away,FALSE,Wisconsin,65,Badgers,Wisconsin Badgers,Wisconsin
