game_id,season,game_type,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
280120153,2008,regular-season,2008-01-12,2,153,home,FALSE,North Carolina,93,Tar Heels,North Carolina Tar Heels,North Carolina
280120153,2008,regular-season,2008-01-12,2,152,away,FALSE,NC State,62,Wolfpack,NC State Wolfpack,NC State
280120276,2008,regular-season,2008-01-12,2,276,home,FALSE,Marshall,45,Thundering Herd,Marshall Thundering Herd,Marshall
280120276,2008,regular-season,2008-01-12,2,235,away,FALSE,Memphis,68,Tigers,Memphis Tigers,Memphis
280120158,2008,regular-season,2008-01-12,2,158,home,FALSE,Nebraska,58,Cornhuskers,Nebraska Cornhuskers,Nebraska
280120158,2008,regular-season,2008-01-12,2,2305,away,FALSE,Kansas,79,Jayhawks,Kansas Jayhawks,Kansas
280120026,2008,regular-season,2008-01-12,2,26,home,FALSE,UCLA,81,Bruins,UCLA Bruins,UCLA
280120026,2008,regular-season,2008-01-12,2,265,away,FALSE,Washington State,74,Cougars,Washington State Cougars,Washington St
280122294,2008,regular-season,2008-01-12,2,2294,home,FALSE,Iowa,43,Hawkeyes,Iowa Hawkeyes,Iowa
280122294,2008,regular-season,2008-01-12,2,127,away,FALSE,Michigan State,36,Spartans,Michigan State Spartans,Michigan St
280120046,2008,regular-season,2008-01-12,2,46,home,FALSE,Georgetown,72,Hoyas,Georgetown Hoyas,Georgetown
280120046,2008,regular-season,2008-01-12,2,41,away,FALSE,UConn,69,Huskies,UConn Huskies,UConn
280122579,2008,regular-season,2008-01-12,2,2579,home,FALSE,South Carolina,56,Gamecocks,South Carolina Gamecocks,South Carolina
280122579,2008,regular-season,2008-01-12,2,2633,away,FALSE,Tennessee,80,Volunteers,Tennessee Volunteers,Tennessee
280120245,2008,regular-season,2008-01-12,2,245,home,FALSE,Texas A&M,86,Aggies,Texas A&M Aggies,Texas A&M
280120245,2008,regular-season,2008-01-12,2,38,away,FALSE,Colorado,69,Buffaloes,Colorado Buffaloes,Colorado
280120142,2008,regular-season,2008-01-12,2,142,home,FALSE,Missouri,97,Tigers,Missouri Tigers,Missouri
280120142,2008,regular-season,2008-01-12,2,251,away,FALSE,Texas,84,Longhorns,Texas Longhorns,Texas
280120096,2008,regular-season,2008-01-12,4,96,home,FALSE,Kentucky,79,Wildcats,Kentucky Wildcats,Kentucky
280120096,2008,regular-season,2008-01-12,4,238,away,FALSE,Vanderbilt,73,Commodores,Vanderbilt Commodores,Vanderbilt
280122086,2008,regular-season,2008-01-12,2,2086,home,FALSE,Butler,72,Bulldogs,Butler Bulldogs,Butler
280122086,2008,regular-season,2008-01-12,2,270,away,FALSE,Milwaukee,56,Panthers,Milwaukee Panthers,Milwaukee
280120269,2008,regular-season,2008-01-12,2,269,home,FALSE,Marquette,92,Golden Eagles,Marquette Golden Eagles,Marquette
280120269,2008,regular-season,2008-01-12,2,87,away,FALSE,Notre Dame,66,Fighting Irish,Notre Dame Fighting Irish,Notre Dame
280120145,2008,regular-season,2008-01-12,2,145,home,FALSE,Ole Miss,74,Rebels,Ole Miss Rebels,Ole Miss
280120145,2008,regular-season,2008-01-12,2,99,away,FALSE,LSU,71,Tigers,LSU Tigers,LSU
280120139,2008,regular-season,2008-01-12,3,139,home,FALSE,Saint Louis,57,Billikens,Saint Louis Billikens,Saint Louis
280120139,2008,regular-season,2008-01-12,3,2168,away,FALSE,Dayton,68,Flyers,Dayton Flyers,Dayton
280120228,2008,regular-season,2008-01-12,4,228,home,FALSE,Clemson,97,Tigers,Clemson Tigers,Clemson
280120228,2008,regular-season,2008-01-12,4,52,away,FALSE,Florida State,85,Seminoles,Florida State Seminoles,Florida St
280122132,2008,regular-season,2008-01-12,2,2132,home,FALSE,Cincinnati,69,Bearcats,Cincinnati Bearcats,Cincinnati
280122132,2008,regular-season,2008-01-12,2,222,away,FALSE,Villanova,66,Wildcats,Villanova Wildcats,Villanova
280120221,2008,regular-season,2008-01-12,2,221,home,FALSE,Pittsburgh,84,Panthers,Pittsburgh Panthers,Pitt
280120221,2008,regular-season,2008-01-12,2,2550,away,FALSE,Seton Hall,70,Pirates,Seton Hall Pirates,Seton Hall
280122752,2008,regular-season,2008-01-12,2,2752,home,FALSE,Xavier,68,Musketeers,Xavier Musketeers,Xavier
280122752,2008,regular-season,2008-01-12,2,2230,away,FALSE,Fordham,50,Rams,Fordham Rams,Fordham
280122390,2008,regular-season,2008-01-12,2,2390,home,FALSE,Miami,78,Hurricanes,Miami Hurricanes,Miami
280122390,2008,regular-season,2008-01-12,2,59,away,FALSE,Georgia Tech,68,Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Tech
