game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
400595032,2015-01-15,2,142,home,FALSE,Missouri,49,Tigers,Missouri Tigers,Missouri
400595032,2015-01-15,2,2579,away,FALSE,South Carolina,60,Gamecocks,South Carolina Gamecocks,South Carolina
400594932,2015-01-15,2,2,home,FALSE,Auburn,42,Tigers,Auburn Tigers,Auburn
400594932,2015-01-15,2,2633,away,FALSE,Tennessee,54,Lady Volunteers,Tennessee Lady Volunteers,Tennessee
400593087,2015-01-15,2,153,home,FALSE,North Carolina,79,Tar Heels,North Carolina Tar Heels,North Carolina
400593087,2015-01-15,2,87,away,FALSE,Notre Dame,89,Fighting Irish,Notre Dame Fighting Irish,Notre Dame
400596681,2015-01-15,2,164,home,FALSE,Rutgers,59,Scarlet Knights,Rutgers Scarlet Knights,Rutgers
400596681,2015-01-15,2,120,away,FALSE,Maryland,71,Terrapins,Maryland Terrapins,Maryland
400594948,2015-01-15,2,96,home,FALSE,Kentucky,62,Wildcats,Kentucky Wildcats,Kentucky
400594948,2015-01-15,2,57,away,FALSE,Florida,56,Gators,Florida Gators,Florida
400595005,2015-01-15,4,344,home,FALSE,Mississippi State,69,Bulldogs,Mississippi State Bulldogs,Mississippi St
400595005,2015-01-15,4,99,away,FALSE,LSU,71,Tigers,LSU Tigers,LSU
400593086,2015-01-15,2,150,home,FALSE,Duke,65,Blue Devils,Duke Blue Devils,Duke
400593086,2015-01-15,2,259,away,FALSE,Virginia Tech,40,Hokies,Virginia Tech Hokies,Virginia Tech
400596682,2015-01-15,2,158,home,FALSE,Nebraska,73,Cornhuskers,Nebraska Cornhuskers,Nebraska
400596682,2015-01-15,2,213,away,FALSE,Penn State,45,Lady Lions,Penn State Lady Lions,Penn State
400594970,2015-01-15,2,145,home,FALSE,Ole Miss,55,Rebels,Ole Miss Rebels,Ole Miss
400594970,2015-01-15,2,61,away,FALSE,Georgia,52,Lady Bulldogs,Georgia Lady Bulldogs,Georgia
400593089,2015-01-15,2,52,home,FALSE,Florida State,58,Seminoles,Florida State Seminoles,Florida St
400593089,2015-01-15,2,221,away,FALSE,Pittsburgh,43,Panthers,Pittsburgh Panthers,Pitt
400596679,2015-01-15,2,194,home,FALSE,Ohio State,72,Buckeyes,Ohio State Buckeyes,Ohio State
400596679,2015-01-15,2,135,away,FALSE,Minnesota,76,Golden Gophers,Minnesota Golden Gophers,Minnesota
400593088,2015-01-15,2,183,home,FALSE,Syracuse,73,Orange,Syracuse Orange,Syracuse
400593088,2015-01-15,2,154,away,FALSE,Wake Forest,62,Demon Deacons,Wake Forest Demon Deacons,Wake Forest
