game_id,date,periods,team_id,home_away,neutral_site,location,score,name,display_name,short_display_name
400590542,2015-02-22,2,254,home,FALSE,Utah,42,Utes,Utah Utes,Utah
400590542,2015-02-22,2,204,away,FALSE,Oregon State,52,Beavers,Oregon State Beavers,Oregon St
400593162,2015-02-22,2,103,home,FALSE,Boston College,68,Eagles,Boston College Eagles,Boston College
400593162,2015-02-22,2,52,away,FALSE,Florida State,86,Seminoles,Florida State Seminoles,Florida St
400593161,2015-02-22,2,152,home,FALSE,NC State,72,Wolfpack,NC State Wolfpack,NC State
400593161,2015-02-22,2,150,away,FALSE,Duke,59,Blue Devils,Duke Blue Devils,Duke
400590543,2015-02-22,4,30,home,FALSE,USC,73,Trojans,USC Trojans,USC
400590543,2015-02-22,4,9,away,FALSE,Arizona State,76,Sun Devils,Arizona State Sun Devils,Arizona St
400594899,2015-02-22,2,333,home,FALSE,Alabama,55,Crimson Tide,Alabama Crimson Tide,Alabama
400594899,2015-02-22,2,344,away,FALSE,Mississippi State,57,Bulldogs,Mississippi State Bulldogs,Mississippi St
400594956,2015-02-22,2,245,home,FALSE,Texas A&M,66,Aggies,Texas A&M Aggies,Texas A&M
400594956,2015-02-22,2,57,away,FALSE,Florida,46,Gators,Florida Gators,Florida
400593166,2015-02-22,2,2390,home,FALSE,Miami,65,Hurricanes,Miami Hurricanes,Miami
400593166,2015-02-22,2,153,away,FALSE,North Carolina,66,Tar Heels,North Carolina Tar Heels,North Carolina
400590541,2015-02-22,2,24,home,FALSE,Stanford,53,Cardinal,Stanford Cardinal,Stanford
400590541,2015-02-22,2,25,away,FALSE,California,63,Golden Bears,California Golden Bears,California
400596751,2015-02-22,2,127,home,FALSE,Michigan State,60,Spartans,Michigan State Spartans,Michigan St
400596751,2015-02-22,2,164,away,FALSE,Rutgers,50,Scarlet Knights,Rutgers Scarlet Knights,Rutgers
400598973,2015-02-22,2,256,home,FALSE,James Madison,62,Dukes,James Madison Dukes,James Madison
400598973,2015-02-22,2,2275,away,FALSE,Hofstra,63,Pride,Hofstra Pride,Hofstra
400593164,2015-02-22,2,183,home,FALSE,Syracuse,68,Orange,Syracuse Orange,Syracuse
400593164,2015-02-22,2,221,away,FALSE,Pittsburgh,54,Panthers,Pittsburgh Panthers,Pitt
